dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN3187,"N.Y.S.S.'S DATTA MEGHE COLLEGE OF ENGINEERING, AIROLI, NAVI ",3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi ",1.0,
EN3188,VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VI,3188,Vasantdada Patil Pratishthan's College Of Engineering and Vi,0.86,
EN3189,"BHARATI VIDYAPEETH COLLEGE OF ENGINEERING, BELAPUR,C. B. D. ",6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",0.67,
EN3190,"TERNA ENGINEERING COLLEGE, NERUL, NAVI MUMBAI",3190,"Terna Engineering College, Nerul, Navi Mumbai",1.0,
EN3192,"SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,KOPAR KHAIRANE, NA",3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",0.71,
EN3193,"SHIVAJIRAO S. JONDHALE COLLEGE OF ENGINEERING, DOMBIVALI,MUM",3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mum",1.0,
EN3194,"VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY, VASAI",3194,"Vidyavardhini's College of Engineering and Technology, Vasai",0.75,
EN3196,"LOKMANYA TILAK COLLEGE OF ENGINEERING, KOPAR KHAIRANE, NAVI ",3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi ",1.0,
EN3197,"AGNEL CHARITIES' FR. C. RODRIGUES INSTITUTE OF TECHNOLOGY, V",3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, V",0.88,
EN3198,"KONKAN GYANPEETH COLLEGE OF ENGINEERING, KARJAT",3198,"Konkan Gyanpeeth College of Engineering, Karjat",1.0,
EN3199,SHRI VILE PARLE KELVANI MANDAL'S DWARKADAS J. SANGHVI COLLEG,3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi Colleg,0.9,
EN3200,"FINOLEX ACADEMY OF MANAGEMENT AND TECHNOLOGY, RATNAGIRI",3200,Hope Foundation and research center's Finolex Academy of Man,1.0,
EN3201,RIZVI EDUCATION SOCIETY'S RIZVI COLLEGE OF Mumba ENGINEERING,3201,"Rizvi Education Society's Rizvi College of Engineering, Band",0.75,
EN3202,RAJENDRA MANE COLLEGE OF ENGINEERING & TECHNOLOGY AMBAV DEOR,3202,Rajendra Mane College of Engineering & Technology Ambav Deor,1.0,
EN3203,"ATHARVA COLLEGE OF Mumbai- ENGINEERING,MALAD(WEST),MUMBAI Su",3203,"Atharva College of Engineering,Malad(West),Mumbai",0.8,
EN3204,ST. FRANCIS INSTITUTE OF TECHNOLOGY Mumbai- (ENGINEERING COL,3204,"St. Francis Institute of Technology,Borivali, Mumbai",0.8,
EN3206,"(ENGINEERING COLLEGE), BORIVALI, MUMBAI Suburban S.S.P.M.'S ",3206,"S.S.P.M.'s College of Engineering, Kankavli",0.57,YES
EN3207,"MAHATMA EDUCATION SOCIETY'S PILLAI COLLEGE OF ENGINEERING, N",3207,"Mahatma Education Society's Pillai College of Engineering, N",1.0,
EN3208,"DON BOSCO INSTITUTE OF TECHNOLOGY, Mumbai- MUMBAI Suburban",3208,"Don Bosco Institute of Technology, Mumbai",0.75,
EN3209,K J SOMAIYA INSTITUTE OF ENGINEERING AND Mumbai- INFORMATION,3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi Colleg,0.4,YES
EN3210,"EXCELSIOR EDUCATION SOCIETY'S K.C. COLLEGE OF ENGINEERING, T",3210,Excelsior Education Society's K.C. College of Engineering an,0.73,
EN3211,"S.I.E.S. GRADUATE SCHOOL OF TECHNOLOGY, NERUL, NAVI MUMBAI",3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",1.0,
EN3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING AND COMPUTER T,3212,"Watumull Institute of Engineering & Technology, Ulhasnagar",0.5,YES
EN3214,XAVIER INSTITUTE OF ENGINEERING,3214,Xavier Institute Of Engineering C/O Xavier Technical Institu,1.0,
EN3215,BHARATIYA VIDYA BHAVAN'S SARDAR PATEL Mumbai- INSTITUTE OF T,3215,Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology,0.75,
EN3216,"OF TECHNOLOGY,AT & POST: LAVEL, TALUKA: KHED, DISTRICT:RATNA",3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Rat",1.0,
EN3217,"JONDHLE COLLEGE OF ENGINEERING & TECHNOLOGY, SHAHAPUR, ASANG",3217,Vighnaharata Trust's Shivajirao S. Jondhale College of Engin,1.0,
EN3218,ALDEL EDUCATION TRUST'S ST. JOHN COLLEGE OF ENGINEERING & MA,3218,Aldel Education Trust's St. John College of Engineering & Ma,0.88,
EN3219,KOTI VIDYA CHARITABLE TRUST'S SMT. ALAMURI RATNAMALA INSTITU,3219,Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institu,0.73,
EN3220,"SARASWATI EDUCATION SOCIETY, YADAVRAO TASGAONKAR COLLEGE OF ",3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute o",0.83,
EN3221,"LATE SHRI. VISHNU WAMAN THAKUR CHARITABLE TRUST, VIVA INSTIT",3221,Vishnu Waman Thakur Charitable Trust's VIVA Institute of Tec,0.75,
