college_code,college_name,avg_package_lpa,highest_package_lpa,placement_rate_pct
EN3198,"KONKAN GYANPEETH COLLEGE OF ENGINEERING, KARJAT",N/A,N/A,N/A
EN3199,SHRI VILE PARLE KELVANI MANDAL'S DWARKADAS J. SANGHVI COLLEGE OF,11.1,56.0,N/A
EN3200,"FINOLEX ACADEMY OF MANAGEMENT AND TECHNOLOGY, RATNAGIRI",4.0,12.0,60.0
EN3201,"RIZVI EDUCATION SOCIETY'S RIZVI COLLEGE OF Mumba ENGINEERING, BANDRA,MUMBAI Suburban",N/A,N/A,N/A
EN3202,RAJENDRA MANE COLLEGE OF ENGINEERING & TECHNOLOGY AMBAV DEORUKH,N/A,N/A,N/A
EN3203,"ATHARVA COLLEGE OF Mumbai- ENGINEERING,MALAD(WEST),MUMBAI Suburban",5.5,20.0,68.0
EN3204,"ST. FRANCIS INSTITUTE OF TECHNOLOGY Mumbai- (ENGINEERING COLLEGE), BORIVALI, MUMBAI Suburban",6.5,25.0,72.0
EN3206,"(ENGINEERING COLLEGE), BORIVALI, MUMBAI Suburban S.S.P.M.'S COLLEGE OF ENGINEERING, KANKAVLI",N/A,N/A,N/A
EN3207,"MAHATMA EDUCATION SOCIETY'S PILLAI COLLEGE OF ENGINEERING, NEW PANVEL",6.5,25.0,70.0
EN3208,"DON BOSCO INSTITUTE OF TECHNOLOGY, Mumbai- MUMBAI Suburban",7.5,32.0,75.0
EN3209,"K J SOMAIYA INSTITUTE OF ENGINEERING AND Mumbai- INFORMATION TECHNOLOGY, SION, MUMBAI City",11.35,58.0,N/A
EN3210,"EXCELSIOR EDUCATION SOCIETY'S K.C. COLLEGE OF ENGINEERING, THANE(E)",5.5,20.0,65.0
EN3211,"S.I.E.S. GRADUATE SCHOOL OF TECHNOLOGY, NERUL, NAVI MUMBAI",6.0,22.0,68.0
EN3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING AND COMPUTER TECHNOLOGY,N/A,N/A,N/A
EN3214,XAVIER INSTITUTE OF ENGINEERING,6.5,25.0,70.0
EN3215,BHARATIYA VIDYA BHAVAN'S SARDAR PATEL Mumbai- INSTITUTE OF TECHNOLOGY Suburban,15.14,61.55,97.6
EN3216,"OF TECHNOLOGY,AT & POST: LAVEL, TALUKA: KHED, DISTRICT:RATNAGIRI, PIN:",N/A,N/A,N/A
EN3217,"JONDHLE COLLEGE OF ENGINEERING & TECHNOLOGY, SHAHAPUR, ASANGAON, DIST",N/A,N/A,N/A
EN3218,"ALDEL EDUCATION TRUST'S ST. JOHN COLLEGE OF ENGINEERING & MANAGEMENT, VEVOOR",N/A,N/A,N/A
EN3219,KOTI VIDYA CHARITABLE TRUST'S SMT. ALAMURI RATNAMALA INSTITUTE OF ENGINEERING AND,N/A,N/A,N/A
EN3220,"SARASWATI EDUCATION SOCIETY, YADAVRAO TASGAONKAR COLLEGE OF ENGINEERING AND",N/A,N/A,N/A
EN3221,"LATE SHRI. VISHNU WAMAN THAKUR CHARITABLE TRUST, VIVA INSTITUTE OF",N/A,N/A,N/A
EN3222,"COLLEGE OF ENGINEERING, AT. VILLEGE BETEGAON, CHILHAR ROAD, NEAR UNION PARK",N/A,N/A,N/A
EN3223,MAHATMA EDUCATION SOCIETY'S PILLAIS HOC COLLEGE OF ENGINEERING & TECHNOLOGY,6.5,25.0,70.0
EN3224,G.V. ACHARYA INSTITUTE OF ENGINEERING AND TECHNOLOGY,N/A,N/A,N/A
EN3277,PRAVIN ROHIDAS PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY,N/A,N/A,N/A
EN3351,"BHARAT COLLEGE OF ENGINEERING, KANHOR, BADLAPUR(W)",N/A,N/A,N/A
EN3353,"DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES, AT.MAMDAPUR",N/A,N/A,N/A
EN3423,"SHREE L.R. TIWARI COLLEGE OF ENGINEERING, MIRA ROAD (E), DIST - THANE",N/A,N/A,N/A
EN3436,B.R. HARNE COLLEGE OF ENGINEERING & TECHNOLOGY,N/A,N/A,N/A
EN3440,METROPOLITAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE,N/A,N/A,N/A
EN3445,"RESEARCH, SHAHAPUR,DIST THANE (FORMERLY KNOW AS-VISHWATMAK OM GURUDEV",N/A,N/A,N/A
EN3447,COLLEGE OF ENGINEERING) G.M.VEDAK INSTITUTE OF TECHNOLOGY,N/A,N/A,N/A
EN3462,"VPM'S MAHARSHI PARSHURAM COLLEGE OF ENGINEERING, VELNESHWAR, RATNAGIRI",N/A,N/A,N/A
EN3465,"ENGINEERING, VELNESHWAR, RATNAGIRI. IDEAL INSTITUTE OF TECHNOLOGY",N/A,N/A,N/A
EN3467,VISHWANIKETAN'S INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP AND ENGINEERING,N/A,N/A,N/A
EN3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,N/A,N/A,N/A
EN3471,"NEW HORIZON INSTITUTE OF TECHNOLOGY & MANAGEMENT, THANE",N/A,N/A,N/A
EN3475,"PCT'S A. P. SHAH INSTITUTE OF TECHNOLOGY, THANE",N/A,N/A,N/A
EN3477,CHHHATRAPATI SHIVAJI MAHARAJ INSTITUTE OF TECHNOLOGY,N/A,N/A,N/A
EN3503,OF TECHNOLOGY INDALA COLLEGE OF ENGINEERING,N/A,N/A,N/A
