college_code,college_name,annual_fees
EN4116,"ANKUSH SHIKSHAN SANSTHA'S G.H.RAISONI COLLEGE OF ENGINEERING, NAGPUR",148000
EN4123,"LOKMANYA TILAK JANKALYAN SHIKSHAN SANSTHA, PRIYADARSHANI COLLEGE OF",136000
EN4133,SANMARG SHIKSHAN SANSTHA'S SMT. RADHIKATAI PANDAV COLLEGE OF,95000
EN4134,"GURU NANAK INSTITUTE OF ENGINEERING & TECHNOLOGY,KALMESHWAR, NAGPUR",60000
EN4135,AMAR SEVA MANDAL'S SHREE GOVINDRAO WANJARI COLLEGE OF ENGINEERING &,100000
EN4137,SIR SHANTILAL BADJATE CHARITABLE TRUST'S S. B. JAIN INSTITUTE OF TECHNOLOGY,125000
EN4138,"JAIDEV EDUCATION SOCIETY'S, J. D. COLLEGE OF ENGINEERING, AT: KHANDALA, POST : VALNI",115500
EN4139,"KATOL ROAD,NAGPUR JHULELAL INSTITUT OF TECHNOLOGY, NAGPUR",110000
EN4141,VILASRAO DESHMUKH COLLEGE OF ENGINEERING AND TECHNOLOGY,80000
EN4142,"TECHNOLOGY, NAGPUR (FORMERLY KNOW AS - G. H. RAISONI INSTITUTE OF ENGINEERING &",123500
EN4143,"SANMARG SHIKSHAN SANSTHA, MANDUKARRAO PANDAV COLLEGE OF",78500
EN4144,"SHRI. SAI SHIKSHAN SANSTHA, NAGPUR INSTITUTE OF TECHNOLOGY, NAGPUR",108000
EN4145,"WAINGANGA COLLEGE OF ENGINEERING AND MANAGEMENT, DONGARGAON, NAGPUR",90000
EN4147,"COMMITTEE'S, KARMAVIR DADASAHEB KANNAMWAR COLEGE OF ENGINEERING",123000
EN4151,SANSTHA'S TULSHIRAMJI GAIKWAD PATIL COLLEGE OF ENGINEERING & TECHNOLOGY,117500
EN4163,RAJIV GANDHI COLLEGE OF ENGINEERING RESEARCH & TECHNOLOGY CHANDRAPUR,129500
EN4167,"YESHWANTRAO CHAVAN COLLEGE OF ENGINEERING,WANADONGRI, NAGPUR",175000
EN4172,"ANJUMAN COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",116000
EN4174,"ST. VINCENT PALLOTTI COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",149000
EN4175,"SHRI SHANKARPRASAD AGNIHOTRI COLLEGE OF ENGINEERING,BAPUJI WADI, SINDI (MEGHE)",75000
EN4177,"PRIYADARSHINI BHAGWATI COLLEGE OF ENGINEERING, NAGPUR",116000
EN4181,"TECHNOLOGY, NAGPUR (FORMERLY KNOWN AS SARVASIDDHANTA EDUCATION SOC'S",64500
EN4188,"BALLARPUR INSTITUTE OF TECHNOLOGY,BALLARPUR",89000
EN4190,"SHRI SAI COLLEGE OF ENGINEERING & TECHNOLOGY, BHADRAWATI (M.S.)",77500
EN4192,"MAITREY EDUCATIONAL SOCIETY, NAGARJUNA INSTITUTE OF ENGINEERING TECHNOLOGY &",96000
EN4193,"K.D.M. EDUCATION SOCIETY, VIDHARBHA INSTITUTE OF TECHNOLOGY,UMRED ROAD",87500
EN4196,GURUNANAK EDUCATIONAL SOCIETY'S GURUNANAK INSTITUTE OF ENGINEERING AND,51500
EN4197,"COLLEGE OF ENGINEERING, NR. BYPASS HIGHWAY, NAGTHANA ROAD, SINDI(MEGHE",85000
EN4285,"SVVPM'S V M INSTITUTE OF ENGINEERING AND TECHNOLOGY,DONGARGAON, NAGPUR",106500
EN4302,"MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY, SHAHAPUR",70500
